username,tweet,location,followers_count
thecableng,"BREAKING: #Nigeria records 38 new #coronavirus cases — 23 in #Kano

#COVID19 #StayHome #lockdown",Nigeria,470856
nowthisnews,"Shake Shack is returning a $10M loan and calling on the federal government to do more after a loophole in the COVID-19 stimulus bill enabled the fast food chain to receive funds intended for small businesses https://t.co/5xzCzeoLd1","The Internet & NYC",2574331
nbcchicago,"Coronavirus Illinois: Mother Searches for Answers in North Suburban Teen’s Death https://t.co/VddukWxNKh https://t.co/drdlQeIP1e","Chicago, IL",449730
guardian,"No guarantee coronavirus vaccine will be found soon, infectious disease expert tells Q+A https://t.co/84XTwVnFgn",London,8703018
guardian,"Australia coronavirus live: Virgin expected to go into administration as NSW announces staggered return to school – latest updates https://t.co/syNH1yumTJ",London,8703018
NextLAMayor,"@DLoesch Hold on, let me read the story. Perhaps it is about a magical wristband that repels the coronavirus.

(Pretends to read story)

Sadly, it is not..","Los Angeles, CA",76338
komonews,"Coronavirus death toll in Washington rises again. https://t.co/ccLo7ifcHh","Seattle, WA",426321
ZENINEWS,"CONSERVATIVE UK DAILY MAIL reported: WHO chief insists 'nothing is hidden from US' on Covid-19  https://t.co/kZ3lIhbroa","United States",107327
devdevnumnums,"Hey @GovKemp,
Did you forget that shiny new fact you learned a couple weeks ago where people can have coronavirus and be asymptomatic? 
Only asking because my parents are over 70 and live in Georgia. Only asking because their lives are at stake. 
- a concerned daughter","Los Angeles",53199
morgfair,"⚡️ “76-year-old judge risks life to save homeless people from coronavirus” by @latimes https://t.co/xBfn8Nkc2M",NULL,102079
LunaLuvgood2020,"“We need to align government spending with measures that will actually help to end the pandemic. We have to open the pocketbook of the United States Treasury and spend whatever we need to in order to put a proper public-health response in place at once” https://t.co/ozMXV6VLCK","PNW USA via Hogwarts UK ",135931
ScottishSun,"Coronavirus Scotland: Scots endurance rider Mark Beaumont ‘cycling round world’ from home for Scottish Sun appeal

https://t.co/wM5T7qby45 https://t.co/IgSGPIvprW","Glasgow, UK",50571
redsand2,"Israeli protesters accuse Netanyahu of using coronavirus to erode democracy, escape corruption charges https://t.co/XrgPJyfAlA #FoxNews","Seoul, Korea",53871
macleans,"#COVID19 cases continue to climb in Canada, driven in part by outbreaks at institutions such as long-term care homes and correctional facilities, as well as a meat-packing plant in Alberta https://t.co/nD6J8xKBSN",Canada,467308
CTVVancouver,"#Breaking: Another five people have died from COVID-19 in British Columbia, and health officials are dealing with a cluster of new infections linked to an oilsands work camp in Alberta. Updated story here: 
https://t.co/KHFYSmgJFr","Vancouver, British Columbia",298458
THEHermanCain,"Good evening everyone!  Tonight, during the @FoxNews ten o'clock hour, I'll be joining Laura and the crew at @IngrahamAngle.

We'll talk about restarting the economy, and the businesses and jobs that have been so damaged by the #coronavirus lockdown. 

Be sure to tune in! https://t.co/x30d4ai1zX","Stockbridge, Georgia",531871
263Chat,"Liquid Telecom Supports Govt In COVID-19 Fights https://t.co/IN3QRP5mcC via @263Chat #Twimbos #263Chat https://t.co/vmTTjgXTfY",Zimbabwe,433446
IdahoStatesman,"“We know that Idaho Gives is even more important for nonprofits during the COVID-19 panic.” https://t.co/9s936XPKTv","Boise, Idaho, USA",80749
BLaw,"Attorneys guiding mergers and acquisitions through regulatory reviews at the FTC will need to shift their expectations as commission staff probes deals during the coronavirus pandemic. https://t.co/tnu42WEnnD","Arlington, VA",116589
RNBreakfast,"Former PM @TurnbullMalcolm says he'd love to be at the helm during the Covid-19 pandemic. "I love challenges... I'd like to get stuck into fixing this problem" he says. He says the Govt has done a good job, although he says "the messaging was a bit ragged at the beginning"",Australia,53173
TheEconomist,"The least advantaged Americans are suffering most from the coronavirus crisis https://t.co/kW5ecWiuWP",London,24652965
JournalStarNews,"Two of the newly reported deaths came from Douglas County, while the other three were in and around the hard-hit Grand Island area. https://t.co/bkfj2cBV9f","Lincoln, NE",75856
wyffnews4,"Tom Hanks recounts his exhaustion and wife Rita Wilson's nausea during coronavirus https://t.co/lKPTZHwhmV","Greenville, SC",122504
wbaltv11,"Officials: Carroll County nursing homes hit hard by coronavirus https://t.co/sNfbAu2bWo","Baltimore, MD",268696
13wmaznews,"'This is what motivates us' | 100th COVID-19 patient released from St. Mary's Hospital https://t.co/k37aSoGLwX","Macon, GA",70500
LSJNews,"Whitmer responds to critics, says war against coronavirus requires sacrifices https://t.co/Dj0vKC8HD2","Lansing, MI",58105
FaisalBasri,"COVID-19 Could Kill China’s $3.8 Trillion New Silk Road | https://t.co/cxjnMHodXc https://t.co/5hP9tbjInj #oilprice",Jakarta,516387
dakotanews_now,"Gov. Kim Reynolds said Monday that Iowa’s meatpacking plants will stay open and continue to spread the coronavirus among workers, warning that shutting them down would be devastating for farmers and the food supply. https://t.co/btGZFxb7uU","Sioux Falls, SD",57780
RawStory,"‘We don’t hide anything’: WHO chief defends organization’s handling of Covid-19
 https://t.co/CWq03zKoKh","Washington, DC",209948
ellentube,"Here is some important news other than coronavirus news. https://t.co/hkT8Opp0Vr",NULL,215048
CJAD800,"Drive-thru COVID-19 screening clinic in downtown Montreal closed https://t.co/VcHehQvJV4","Montréal, Québec",50974
NorbertElekes,"JUST IN: Nigeria reports 38 new cases of coronavirus and 1 new death.

A total of 665 cases and 22 deaths.",LinkedIn:,219468
dcbigjohn,GOOD,"washington dc",63579
NYDailyNews,"OPINION | Who are the self-styled liberators? Looking more deeply at those protesting coronavirus shutdowns

Historian and author @betsygquammen writes
https://t.co/fdRhT2xRsY","New York City  /  fb.com/nydailynews",761900
WashTimes,"AOC deletes gleeful tweet on oil industry's coronavirus collapse: 'You absolutely love to see it’ https://t.co/Zyw4Mok8dh https://t.co/S92BnfD8Wl","Washington, D.C.",388729
ravena68,"What were leading Democrats saying at that time? You won't answer that question because you know they were calling President Trump a racist for his travel ban. 

Name 1 Democrat politician who warned about the coronavirus.",NULL,52227
Free_Media_Hub,"the Gas station had a sign on the loo door saying closed due to covid-19 guidelines i stood there thinking what's worse dying of covid-19 or piss.....g yourself","Visit our dedicated website @",264123
TheNationNews,"Nigeria has now recorded thirty-eight new cases of COVID-19 today.
https://t.co/Sfp86mU2Kp","Lagos, Nigeria",1071864
Chadwick_Moore,"I for one believe him. Someone like this doesn’t just do things for attention or to feel special.  https://t.co/1fyPNnqVmZ","New York City",54349
wttw,"The excitement of Jennifer Schaff’s pregnancy turned to “flat out fear” as COVID-19 spread. After weeks of worrying, she and her husband are bringing home a healthy baby girl. Watch their story &gt;&gt;

#FIRSTHANDwttw | #coronavirus | https://t.co/KAP4tbtJCQ https://t.co/30kryweFcg","Chicago, Illinois",66135
ABC7NY,"Coronavirus News: Kids in New Jersey making a big difference during COVID-19 crisis https://t.co/S5wT2FQ8r2 https://t.co/GvOgeQ2ZsI","New York City",688218
TomthunkitsMind,"WHEN GOVERNMENTS LIE, MORE PEOPLE DIE.

50+ dead bodies at a single morgue in Iran. 

And we are supposed to believe only 66 people have died from #coronavirus in Iran?

https://t.co/H3iDcGlHmr
via TruthAbtChina
#VoteBlueNoMatterWho","Atlanta, GA",70100
VeniceMase,""Stanford researchers said their findings show a death rate of just 0.12% to 0.2%.”

Encouraging antibody study from Stanford:

https://t.co/PtBMS6Ycar","Venice, Los Angeles",57432
NetworksManager,"Here Is The Full Explanation Behind Today's Unprecedented Negative Oil Price https://t.co/SmyIGnOzyG","Washington DC",106054
ForHisGlory52,"Under the proposal, citizens who are not permitted to work; &amp; who can't leave the confinement of their homes or residence to earn a living; are now going to be compelled by the authority of the gov't, to pay continued salaries of gov't workers.

https://t.co/er0KvSlT9g","Deep in the ♥ of TEXAS",58592
SocialPowerOne1,"Meat plant workers' jobs got more dangerous as South Dakota governor refused to help https://t.co/ENyRe7C0kY #National #Coronavirus https://t.co/33Txz4KkdT","United States",149423
YogaArmy,"Movie Theaters Might Reopen Sooner Than Expected, But Is It Safe? (Column) https://t.co/VwXcyrsdNz #Opinion #AMCCinemas https://t.co/PcOQCJ4fks","Los Angeles, CA",85237
DrHubaEvaluator,"Cautionary Tale Spurs 'World's First' COVID-19 Psychiatric Ward https://t.co/tSkOBQlsW7 https://t.co/kYSiWiMpQw","North Carolina, USA  919",132997
newhumanitarian,"Lack of internet access on Ukraine’s front lines means vulnerable people are unable to contact social services that have moved online. More in our latest report: https://t.co/O0njBfip5u","Geneva, Switzerland",94784
FOX19,"“There’s no way Cincinnati or Columbus or any city can survive or thrive if local governments suffer the catastrophic loss of revenue that we are projecting right now." https://t.co/BKx33Slmm4","Cincinnati, OH",116296
RadioFreeTom,"Cripes, even the Taliban gets it, which puts them ahead of a fair number of Americans right now when it comes to believing in science.","Newport, RI",359744
usatodayDC,"About 2,000 people protested Monday against coronavirus restrictions in PA, one of the largest rallies so far in the growing movement. https://t.co/WCAeBw19E7","Washington, D.C.",213128
DrGJackBrown,"Trump, accusing Dems of politicizing pandemics, "We'll get 'em on testing". 

No, Mr. Trump, we've only tested 1.21% of the US population. Stop your bragging. Stop your lying.

#COVID19 #Coronavirus","United States",72614
AIIAmericanGirI,"'Smithfield Foods Is Blaming 'Living Circumstances In Certain Cultures' For One Of America's Largest COVID-19 Clusters.' https://t.co/0VGU6Oag1N @annalthouse #AAG #AAG2020",Wisconsin,128652
7NewsSydney,"Coronavirus - NSW Schools: By the end of term 2 and the start of term 3, students should be back at school full-time. #7NEWS https://t.co/iqyUD1b4F9",Sydney,335205
CBSNews,"5-year-old daughter of two Detroit first responders dies from coronavirus https://t.co/z7hvwFALyR https://t.co/1qJTVRRyQN","New York, NY",7512252
omar_quraishi,"A PIMS employee said that one PIMS staffer who has been diagnosed with the coronavirus and lives in PIMS Hospital Colony has been violating the quarantine despite requests of fellow residents",Pakistan,218050
arrington,"THE STRUGGLE IS REAL: Amid coronavirus, some wealthy homeowners are finally doing their own chores. “Some of them are doing household tasks they haven’t done in decades.” https://t.co/w0dcCI3SQd via @WSJ","Seattle, WA",241497
kfor,"As some Oklahomans push state leaders to reopen the state, health experts say the number of coronavirus cases grew to more than 2,600.​ https://t.co/7v0MAdSG3g","Oklahoma City, Oklahoma",94386
redsand2,"Hong Kong reports no new coronavirus cases for first time in weeks https://t.co/TEczScdEOE #FoxNews","Seoul, Korea",53871
NYPDnews,"And let’s remember and pray for the 30 members of the service that have died due to coronavirus-related illness.","New York City",662770
NYPDnews,"On Monday, April 20, 2020, 4,981 uniformed members of the NYPD were on sick report which accounts for 13.8% of the Department’s uniformed workforce. That is down from a high of 19.8%. To date, 4,435 members of the NYPD have tested positive for coronavirus. https://t.co/o7H9SBlKzr","New York City",662770
CNNOpinion,""Philippine President Rodrigo Duterte has built his regime on fear and repression, so perhaps it should come as no surprise that his response to the Covid-19 crisis is following the same script," writes @WilliamHartung. https://t.co/dE37s6ntAz",NULL,92787
cnnphilippines,"DOH on status of coronavirus crisis in PH: It is still being evaluated by scientists. But cases are still increasing, deaths are still there, our health system is still trying to cope",Philippines,892745
English_AS,"US study suggests Covid-19 mortality rate may be lower than thought: https://t.co/bmW3OKD6f3 https://t.co/kiFBKUUvUC","Madrid, España",172158
IAmBiotech,"The Bipartisan Commission on Biodefense warned about the next pandemic long before #COVIDー19. Hear from the leaders of the Commission on how to respond to the #coronavirus and prepare for future threats. 

#IamBIO || COVID-19: We Were Warned OUT NOW: https://t.co/oLkD9J1qll https://t.co/EgynfP1I1O","Washington, DC",92393
businessinsider,"Joe Biden's latest ad said Trump 'rolled over for the Chinese' on coronavirus, and people are calling it racist and xenophobic https://t.co/2dFheXSRH5","New York, NY",2922436
COVID19_USA_,"New cases of coronavirus in the US today: 23920

New recoveries in the US today: 1014

New deaths in the US today: 1402","Los Angeles, CA",159858
TomthunkitsMind,"Trump Optimism Is Coronavirus Game Changer.
#FBR https://t.co/3zn7ejKOve","Atlanta, GA",70100
DrEricDing,"It was the testing + contact tracing + quarantine that beat the epidemic in China originally. Not the lockdowns alone. #TestingTestingTesting #COVID19 https://t.co/F1N0dQYYxS","Virginia & Washington DC",169564
swin24,"Those i’ve met there over the years are spectacular &amp; long before coronavirus did amazing work w/ the food program, mentorship program, help w/ getting people meds and clothing, ESL lessons, etc. They have been lovely to me, the only raging atheist i know who frequents the church","Washington, DC",72016
usatodaylife,"Coronavirus: Josh Brolin apologizes for visiting dad and Barbra Streisand during quarantine https://t.co/zYUOX5yaLB","USA TODAY HQ, McLean, Va.",82614
WLWT,"Tom Hanks recounts his exhaustion and wife Rita Wilson's nausea during coronavirus https://t.co/QBX7IKN1BI","Cincinnati, Ohio, USA",133904
newsmax,"“I took an oath to uphold the constitution of our state.”

With no stay-at-home order or other COVID-19 regulations, South Dakota Governor @govkristinoem responds to her critics - on Newsmax TV.

7:45PM ET with @gregkellyusa. 
Where you can watch: https://t.co/VlT7z8v2lm https://t.co/4BVSC17tyK","United States",111641
DailyMailUK,"DR MAX PEMBERTON: Why the NHS MUST learn lessons from coronavirus https://t.co/9htDNYyBqz","London, UK",397601
TrumpWarRoom,"April 17: The NIH announced a new public-private partnership with over a dozen leading biopharmaceutical companies to speed up the development of coronavirus vaccines and therapies","MAGA Country",595593
SwannyQLD,"A discussion paper on how to  efficiently get Australia working again points to Morrison’s suggested formula of corporate tax cuts, deregulation, and industrial relations reform to be the wrong way to go about the next phase of pandemic recovery.#auspol  https://t.co/dI3nLXBo8H",Brisbane,105262
TrumpWarRoom,"April 17: Vice President Pence announced that a total of 33,000 National Guard troops and 5,500 active duty servicemembers have been activated to date to assist in the coronavirus response","MAGA Country",595593
WSJ,"Neiman Marcus is preparing to file for bankruptcy protection as soon as Wednesday, with plans to restructure its debt in hopes of reopening most of the luxury chain’s stores after the coronavirus pandemic, according to people familiar with the matter https://t.co/jpfJYBFYJ8","New York, NY",17637514
TrumpWarRoom,"April 17: President Trump announced that 3.7 million coronavirus tests have been completed to date","MAGA Country",595593
TrumpWarRoom,"April 17: President Trump participated in a conversation with faith leaders to discuss the coronavirus response and “express his eagerness to get” houses of worship reopened as soon as possible","MAGA Country",595593
globalcompact,"How are responsible businesses tackling #COVID19? 

CEOs of companies that have committed to the #TenPrinciples of the UN @globalcompact are sharing their ideas and advice for addressing the #coronavirus through this new video series: https://t.co/N8mQjIkHkq #UnitingBusiness https://t.co/lkYPAUcUPt","New York, NY",106500
SafetyPinDaily,"While the world reels from coronavirus, the next pandemic is waiting in the wings || Via Independent https://t.co/9iREDANhqW",NULL,141519
mitchellvii,"As COVID-19 fades, Democrats insist on total testing before re-opening the economy - an impossible task. https://t.co/8o3PKxwjXl","Miami, FL",568417
TrumpWarRoom,"April 17: President Trump approved a major disaster declaration for American Samoa related to the coronavirus outbreak, meaning major disaster declarations have been approved in all 50 states and in all US territories for the first time in history","MAGA Country",595593
TrumpWarRoom,"April 17: President Trump and Secretary Perdue announced a $19 billion relief package for ranchers and farmers impacted by the coronavirus","MAGA Country",595593
nprpolitics,"Despite promising on April 7 that data on how the coronavirus is affecting people of different races would be available in a few days, the Trump administration now says it won't happen until early May. https://t.co/ZemCktLwVK","Washington, DC",2863496
worldnetdaily,"Comedian Patton Oswalt gets roasted for comparing coronavirus-lockdown protesters to Anne Frank https://t.co/SDi19IwQkl",NULL,76648
TrumpWarRoom,"April 16: OSHA issued an alert listing safety tips employers can follow to help keep manufacturing workers safe during the coronavirus pandemic","MAGA Country",595593
TrumpWarRoom,"April 16: The FDA encouraged Americans who have recovered from coronavirus to donate their plasma for the development of new treatments and therapies","MAGA Country",595593
realTuckFrumper,"Trump conspicuously doesn’t mention hydroxychloroquine when noting possible therapies for COVID-19 https://t.co/5NxQcQdLlJ","Witness Protection",82119
TwitchyTeam,"China Daily bureau chief calls President Trump a ‘racist a**hole’ for suggesting China is fudging its coronavirus mortality rate https://t.co/6nuAMWkuzI",NULL,249093
TrumpWarRoom,"April 16: USAID announced that it committed nearly $508 million in emergency health, humanitarian, and economic aid around the world to help respond to the coronavirus pandemic","MAGA Country",595593
WPSDLocal6,"The Purchase District Health Department has announced one new case of COVID-19 in McCracken County and one new case of the virus in Ballard County.  https://t.co/lqZHk0pugF","Paducah, Kentucky",60814
WLOS_13,"CORONAVIRUS HELP DESK: One viewer asked, “Does peroxide kill the coronavirus?”
Here's what we found out: https://t.co/ZwK176D1cd","Asheville, NC",77762
KENS5,"While in-person community events are out of the picture for the most part, there are still many ways to celebrate Earth Day's 50th anniversary whether it is online, at home or in your neighborhood.  https://t.co/m39FJnJmXR","San Antonio, Texas",158145
TrumpWarRoom,"April 16: President Trump announced that 3.5 million coronavirus tests have been completed to date, the most of any country worldwide","MAGA Country",595593
TrumpWarRoom,"April 16: President Trump spoke with Republican and Democrat members of the Opening Up America Again Congressional Group on the coronavirus response and efforts to re-open the economy","MAGA Country",595593
TrumpWarRoom,"April 16: President Trump participated in a video conference with leaders of the G7 to discuss a coordinated response to coronavirus, including pooling data and research, preparations to re-open their economies, and the WHO’s response to the coronavirus","MAGA Country",595593
ottawasuncom,"Calls to release some federal inmates amid COVID-19 outbreak grow https://t.co/pr3jk8R5Yr https://t.co/KjllRywcjY","Ottawa, Canada",97600
ALT987fm,"Good Charlotte's Benji &amp; Joel Madden Are Helping Bands Amid COVID-19 https://t.co/svzQtieIDq","Los Angeles, CA",52226
HillReporter,"Watch George Bush Accurately Predict Covid-19 Pandemic 15 Years Ago
https://t.co/v8i3k5E5u3","Chicago, US",64869
AIIAmericanGirI,"Ex-NYT reporter Alex Berenson calls on governors to reopen schools, questions coronavirus lockdowns https://t.co/1l9tVW59Q9 @FoxNews #AAG #AAG2020",Wisconsin,128652
omar_quraishi,"Part of the sixth floor of Al-Mustafa Tower in Islamabad's F-10 has been sealed after a case of coronavirus emerged there",Pakistan,218050
Slate,"How can I help my type-A teen deal with the uncertainty and restrictions of coronavirus? https://t.co/cyivaW16EM",NULL,1797198
masslivenews,"Coronavirus: Gov. Charlie Baker signs housing bill granting moratorium on evictions and foreclosures during COVID-19 https://t.co/JbIlKZE2rY","Massachusetts, USA",85139
JosephSakran,"“Testing is much easier than Ventilators.....” #PressBriefing 

Well then why don’t we have sufficient testing? 

The 150K tests/day does not cut it. @HarvardEthics report estimates 20 Million tests needed/day to fully reopen economy. #COVIDー19 https://t.co/LVh6PL8Hzy","Fairfax Station, VA",54930
NevadaJack2,"'Saving Lives'? One Reporter Says COVID-19 Should 'Work Nicely To Thin t... https://t.co/snii9f1kMY","Carson City, NV",64790
journalsentinel,"Uline president Liz Uihlein questions Wisconsin Gov. Tony Evers' decision to extend stay-home order until May 26 https://t.co/QeVh2Xjo6a","Milwaukee, WI",76092
CharlieDaniels,"Charlie Daniels and his veterans non-profit @TJHproject  are joining forces with another non-profit group, @codeofvets, to aid former U.S. servicemen and women who are suffering amid the COVID-19 pandemic.- TeamCDB/BW Read it Here ➡️ https://t.co/Mrecbwtlkf","Mt. Juliet, TN",997048
KPIXtv,"San Francisco Muni will be restoring some of the service along routes that had been suspended because of the coronavirus shelter-in-place, officials said Monday. https://t.co/dZ2N7iBSyK","San Francisco Bay Area",96317
ZENINEWS,"NATURAL NEWS - DEFENDING HEALTH, LIFE &amp; LIBERTY reports: Will people in the U.S. have to cope with another 18 months of rolling coronavirus shutdowns? This   https://t.co/ukwB1zqGVl","United States",107327
PerezHilton,"Josh Brolin apologizes for visiting father James Brolin and stepmother Barbra Streisand's house amid pandemic. https://t.co/wl0tWEmSrQ","Los Angeles, CA",5901066
DemGovs,"Governors are fighting to secure as many tests as they can. The federal government needs to do its part. 
https://t.co/rHwJpDgAN0","Washington, DC",99393
DailyMirror,"Parents right to fear early school reopening date after coronavirus lockdown, writes Darren Lewis
https://t.co/UOPYfPRzth https://t.co/wI2GwZpMnJ",UK,1189015
IsaacDovere,"one of these is from a post-apocalyptic movie, the other was taken by a NYTimes photographer the other day: https://t.co/Kngg47TmYN https://t.co/DJLQFUm8d1",NULL,60436
